S.No,Movie_Name,Movie_URL,Movie_IMDb_Rating,Movie_Year
65,Paths of Glory,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_65,8.4,1957
66,The Shining,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_66,8.4,1980
67,The Great Dictator,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_67,8.4,1940
68,12th Fail,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_68,8.7,2023
69,Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_69,8.4,2009
70,Aliens,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_70,8.4,1986
71,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71,8.4,2012
72,Coco,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_72,8.4,2017
73,Amadeus,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_73,8.4,1984
74,Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_74,8.4,2019
75,Toy Story,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_75,8.3,1995
76,Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_76,8.3,1997
77,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_77,8.3,1964
78,Oldboy,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_78,8.3,2003
79,High and Low,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_79,8.4,1963
80,Das Boot,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_80,8.4,1981
81,Braveheart,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_81,8.3,1995
82,American Beauty,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_82,8.3,1999
83,Princess Mononoke,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_83,8.3,1997
84,Your Name.,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84,8.4,2016
85,3 Idiots,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85,8.4,2009
86,Joker,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_86,8.3,2019
87,Capernaum,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_87,8.4,2018
88,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_88,8.3,1984
89,Singin' in the Rain,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_89,8.3,1952
90,Come and See,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90,8.3,1985
91,Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91,8.3,2000
92,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92,8.3,1983
93,Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_93,8.3,2010
94,The Hunt,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_94,8.3,2012
95,Ikiru,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_95,8.3,1952
96,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_96,8.3,2004
97,Incendies,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_97,8.3,2010
98,The Apartment,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_98,8.3,1960
99,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_99,8.3,1968
100,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100,8.3,1962
